"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Jonathan Taylor",IND,"14","3 out of 5 stars","0"
"2",1,"Christian McCaffrey",CAR,"13","3 out of 5 stars","0"
"3",1,"Austin Ekeler",LAC,"8","2 out of 5 stars","0"
"4",2,"Najee Harris",PIT,"9","3 out of 5 stars","+1"
"5",2,"Derrick Henry",TEN,"6","4 out of 5 stars","-1"
"6",2,"Joe Mixon",CIN,"10","3 out of 5 stars","+1"
"7",2,"Dalvin Cook",MIN,"7","4 out of 5 stars","-1"
"8",2,"D'Andre Swift",DET,"6","4 out of 5 stars","0"
"9",3,"Aaron Jones",GB,"14","3 out of 5 stars","+3"
"10",3,"Saquon Barkley",NYG,"9","3 out of 5 stars","+4"
"11",3,"Alvin Kamara",NO,"14","3 out of 5 stars","-1"
"12",3,"Leonard Fournette",TB,"11","2 out of 5 stars","+1"
"13",3,"Javonte Williams",DEN,"9","3 out of 5 stars","-2"
"14",3,"Nick Chubb",CLE,"9","3 out of 5 stars","-5"
"15",3,"James Conner",ARI,"13","2 out of 5 stars","+1"
"16",3,"Breece Hall",NYJ,"10","4 out of 5 stars","+8"
"17",3,"Ezekiel Elliott",DAL,"9","4 out of 5 stars","-2"
"18",4,"Travis Etienne Jr.",JAC,"11","3 out of 5 stars","+3"
"19",4,"David Montgomery",CHI,"14","5 out of 5 stars","-2"
"20",4,"Cam Akers",LAR,"7","2 out of 5 stars","-2"
"21",4,"Josh Jacobs",LV,"6","2 out of 5 stars","-1"
"22",4,"J.K. Dobbins",BAL,"10","4 out of 5 stars","+1"
"23",4,"Antonio Gibson",WAS,"14","4 out of 5 stars","-4"
"24",4,"Elijah Mitchell",SF,"9","2 out of 5 stars","-2"
"25",4,"AJ Dillon",GB,"14","3 out of 5 stars","0"
"26",5,"Miles Sanders",PHI,"7","3 out of 5 stars","+1"
"27",5,"Clyde Edwards-Helaire",KC,"8","3 out of 5 stars","-1"
"28",5,"Damien Harris",NE,"10","4 out of 5 stars","0"
"29",5,"Kareem Hunt",CLE,"9","3 out of 5 stars","+2"
"30",5,"Tony Pollard",DAL,"9","4 out of 5 stars","+2"
"31",5,"Chase Edmonds",MIA,"11","4 out of 5 stars","+2"
"32",5,"Rashaad Penny",SEA,"11","2 out of 5 stars","-2"
"33",5,"Devin Singletary",BUF,"7","4 out of 5 stars","-4"
"34",5,"Ken Walker III",SEA,"11","2 out of 5 stars","+1"
"35",5,"Cordarrelle Patterson",ATL,"14","1 out of 5 stars","+4"
"36",5,"Melvin Gordon III",DEN,"9","3 out of 5 stars","-2"
"37",5,"Dameon Pierce",HOU,"6","3 out of 5 stars","+9"
"38",5,"Rhamondre Stevenson",NE,"10","4 out of 5 stars","0"
"39",5,"Nyheim Hines",IND,"14","3 out of 5 stars","+5"
"40",5,"James Cook",BUF,"7","4 out of 5 stars","0"
"41",6,"Michael Carter",NYJ,"10","4 out of 5 stars","-4"
"42",6,"J.D. McKissic",WAS,"14","4 out of 5 stars","+5"
"43",6,"Alexander Mattison",MIN,"7","4 out of 5 stars","-2"
"44",6,"Darrell Henderson Jr.",LAR,"7","2 out of 5 stars","-1"
"45",6,"Kenneth Gainwell",PHI,"7","3 out of 5 stars","+4"
"46",6,"Ronald Jones II",KC,"8","3 out of 5 stars","-4"
"47",6,"Isaiah Spiller",LAC,"8","2 out of 5 stars","+1"
"48",6,"James Robinson",JAC,"11","3 out of 5 stars","-12"
"49",6,"Tyler Allgeier",ATL,"14","1 out of 5 stars","+3"
"50",6,"Jamaal Williams",DET,"6","4 out of 5 stars","+3"
"51",6,"Rachaad White",TB,"11","2 out of 5 stars","+3"
"52",6,"Khalil Herbert",CHI,"14","5 out of 5 stars","+8"
"53",6,"Darrel Williams",ARI,"13","2 out of 5 stars","+3"
"54",6,"Raheem Mostert",MIA,"11","4 out of 5 stars","-9"
"55",6,"Sony Michel",MIA,"11","4 out of 5 stars","+10"
"56",6,"Gus Edwards",BAL,"10","4 out of 5 stars","+2"
"57",6,"Marlon Mack",HOU,"6","3 out of 5 stars","-7"
"58",7,"D'Onta Foreman",CAR,"13","3 out of 5 stars","+1"
"59",7,"Brian Robinson Jr.",WAS,"14","4 out of 5 stars","+7"
"60",7,"Zamir White",LV,"6","2 out of 5 stars","+2"
"61",7,"Kenyan Drake",LV,"6","2 out of 5 stars","-6"
"62",7,"Mark Ingram II",NO,"14","3 out of 5 stars","-11"
"63",7,"James White",NE,"10","4 out of 5 stars","+8"
"64",7,"Boston Scott",PHI,"7","3 out of 5 stars","+15"
"65",7,"D'Ernest Johnson",CLE,"9","3 out of 5 stars","+2"
"66",7,"Myles Gaskin",MIA,"11","4 out of 5 stars","-5"
